_RAJ2000,_DEJ2000,GaiaDR3,SigMA,stability,Dist,e_Dist,E_Dist,X,e_X,Y,e_Y,Z,e_Z,E_X,E_Y,E_Z,VtRA,e_VtRA,VtDE,e_VtDE,E_VtRA,E_VtDE,VtRALSR,VtDELSR,RV,_RA,_DE
181.8890789,-39.5484431,3459372646830687104,21,13.3,64.6731,0.502259,0.483719,24.0949,0.187124,-54.656,0.408798,24.7942,0.192555,0.180217,0.424466,0.185447,-19.63,0.15633,-7.259,0.05987,0.14325,0.05495,-3.095,-0.911,11.532,181.88908,-39.54844
181.5649625,-39.2229189,3459442092158725760,21,25.5,124.95,1.173736,1.211499,45.8469,0.430671,-105.65,1.024413,48.4526,0.455148,0.444527,0.992481,0.469792,-17.97,0.16909,-7.174,0.06886,0.17137,0.07171,-1.419,-0.865,11.562,181.56496,-39.22292
181.9511081,-39.0013544,3459492631038236416,21,9.8,65.6421,3.849342,4.21016,24.3025,1.42513,-55.277,3.545377,25.743,1.509604,1.558715,3.241532,1.651107,-19.78,1.29199,-7.615,0.50677,1.28099,0.51475,-3.246,-1.223,11.433,181.95111,-39.00135
180.9957647,-38.3612831,3459725624422311424,21,7.8,82.1535,1.116338,1.28113,29.181,0.396524,-69.412,1.082438,32.8575,0.446483,0.455059,0.943203,0.512392,-19.57,0.28708,-7.27,0.11101,0.28381,0.10769,-3.007,-1.013,11.57,180.99576,-38.36128
180.3236697,-37.2092042,3460673098504625024,21,3.6,123.401,0.699085,0.704845,41.9837,0.237844,-104.06,0.594352,51.3561,0.29094,0.239804,0.589495,0.293337,-18.74,0.11474,-8.151,0.05,0.11359,0.05085,-2.17,-1.942,11.56,180.32367,-37.2092
183.0002053,-35.3288042,3462717606017381120,21,2.9,122.811,0.770766,0.825,44.4319,0.278857,-100.16,0.67281,55.4724,0.348147,0.298478,0.62858,0.372644,-17.97,0.12681,-8.284,0.05516,0.11846,0.05539,-1.463,-1.515,10.573,183.00021,-35.3288
183.1670172,-34.63057,3462775399097286272,21,2.2,127.779,0.462519,0.494494,45.9677,0.166389,-103.53,0.400651,59.1271,0.214022,0.177892,0.374745,0.228817,-18.27,0.07194,-8.33,0.03221,0.06833,0.03265,-1.762,-1.502,10.41,183.16702,-34.63057
177.1006311,-37.4803911,3463395523652894336,21,7.2,76.488,0.080919,0.080739,23.1637,0.024505,-66.085,0.069758,30.7675,0.03255,0.024451,0.069913,0.032477,-19.22,0.02162,-6.646,0.0076,0.02039,0.00783,-2.622,-1.022,12.399,177.10063,-37.48039
180.6579458,-33.4779542,3465989374664029184,21,11.0,62.575,0.114559,0.112762,20.0882,0.036776,-51.305,0.092453,29.6631,0.054305,0.036199,0.093926,0.053454,-19.65,0.03637,-6.938,0.01404,0.03519,0.01353,-3.084,-0.459,10.87,180.65795,-33.47795
181.8636792,-32.7835189,3466308095597260032,21,11.8,56.8189,0.292632,0.288225,18.8623,0.097146,-45.881,0.23274,27.7047,0.142686,0.095683,0.236298,0.140538,-19.83,0.1032,-7.157,0.03862,0.1098,0.03724,-3.29,-0.453,10.432,181.86368,-32.78352
