PMS,RA,Dec,B,R,K
HBC351  ,3:52:02.23 ,24:39:47.9 ,12.57 ,10.83 ,9.07
J04152409+2910434,4:15:24.10 ,29:10:43.5 ,,18.95 ,12.36
HBC352  ,3:54:29.50 ,32:03:01.3 ,10.56 ,10.70 ,9.58
J04153916+2818586,4:15:39.16 ,28:18:58.6 ,17.58 ,14.77 ,9.24
HBC353  ,3:54:30.17 ,32:03:04.3 ,,,9.86
J04155799+2746175,4:15:57.99 ,27:46:17.5 ,18.60 ,16.80 ,10.52
HBC354  ,3:54:35.56 ,25:37:11.1 ,12.79 ,11.23 ,11.10
J04161210+2756385,4:16:12.10 ,27:56:38.5 ,19.89 ,17.65 ,10.34
HBC355  ,3:54:35.97 ,25:37:08.1 ,12.79 ,11.23 ,10.21
J04161885+2752155,4:16:18.86 ,27:52:15.5 ,20.58 ,18.64 ,11.35
HBC356  ,4:03:13.95 ,25:52:59.7 ,13.95 ,12.35 ,10.16
LkCa4  ,4:16:28.10 ,28:07:35.8 ,14.49 ,11.71 ,8.32
HBC357  ,4:03:13.95 ,25:52:59.7 ,13.95 ,12.35 ,10.16
J04163048+3037053,4:16:30.48 ,30:37:05.3 ,19.88 ,18.06 ,12.62
HBC358  ,4:03:49.30 ,26:10:52.0 ,15.57 ,13.50 ,9.46
J04163911+2858491,4:16:39.12 ,28:58:49.1 ,20.35 ,18.73 ,11.28
XEST06-006 ,4:03:49.97 ,26:20:38.2 ,20.36 ,17.83 ,12.34
CYTau  ,4:17:33.72 ,28:20:46.8 ,15.15 ,12.50 ,8.60
HBC359  ,4:03:50.84 ,26:10:53.1 ,15.10 ,13.12 ,9.53
LkCa5  ,4:17:38.93 ,28:33:00.5 ,15.59 ,12.70 ,9.05
HBC360  ,4:04:39.36 ,21:58:18.6 ,13.97 ,12.46 ,9.97
KPNO-10  ,4:17:49.55 ,28:13:31.8 ,18.36 ,16.14 ,10.79
HBC361  ,4:04:39.84 ,21:58:21.5 ,0.00 ,12.70 ,10.10
V410 X-ray 1 ,4:17:49.65 ,28:29:36.2 ,17.26 ,14.22 ,9.08
I04016+2610 ,4:04:43.22 ,26:18:54.5 ,20.35 ,16.50 ,9.84
V410 X-ray 3 ,4:18:07.96 ,28:26:03.6 ,19.62 ,16.92 ,10.45
HBC362  ,4:05:30.87 ,21:51:10.6 ,14.73 ,13.43 ,10.06
J04181078+2519574,4:18:10.78 ,25:19:57.4 ,15.92 ,12.26 ,9.03
J04080782+2807280,4:08:07.82 ,28:07:28.1 ,18.32 ,14.97 ,11.39
V410 Anon 13 ,4:18:17.10 ,28:28:41.9 ,0.00 ,18.95 ,10.96
J04124858+2749563,4:12:48.58 ,27:49:56.3 ,17.21 ,15.97 ,11.68
HBC372  ,4:18:21.47 ,16:58:47.0 ,14.32 ,13.50 ,10.46
LkCa1  ,4:13:14.14 ,28:19:10.8 ,15.74 ,12.84 ,8.62
V410 Anon 24 ,4:18:22.39 ,28:24:37.5 ,,,10.73
Anon1  ,4:13:27.22 ,28:16:24.7 ,15.03 ,12.06 ,7.79
V410 Anon 25 ,4:18:29.09 ,28:26:19.1 ,,,9.94
I04108+2803A ,4:13:53.28 ,28:11:23.3 ,,,10.37
KPNO-11  ,4:18:30.30 ,27:43:20.8 ,18.52 ,16.30 ,11.01
I04108+2803B ,4:13:54.71 ,28:11:32.8 ,,,11.06
V410TauA ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
I04108+2910 ,4:13:57.37 ,29:18:19.3 ,17.44 ,14.43 ,9.36
V410TauB ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
J04141188+2811535,4:14:11.88 ,28:11:53.5 ,18.47 ,17.36 ,11.64
V410TauC ,4:18:31.10 ,28:27:16.2 ,11.48 ,9.88 ,7.63
V773TauA ,4:14:12.91 ,28:12:12.4 ,11.39 ,9.97 ,6.21
DDTauA  ,4:18:31.12 ,28:16:29.0 ,15.67 ,13.40 ,7.88
V773TauB ,4:14:12.91 ,28:12:12.4 ,11.39 ,9.97 ,6.21
DDTauB  ,4:18:31.12 ,28:16:29.0 ,15.67 ,13.40 ,7.88
FMTau  ,4:14:13.58 ,28:12:49.2 ,15.57 ,13.14 ,8.76
CZTauA  ,4:18:31.58 ,28:16:58.5 ,16.27 ,14.50 ,9.36
FNTau  ,4:14:14.58 ,28:27:58.0 ,16.30 ,13.48 ,8.19
CZTauB  ,4:18:31.58 ,28:16:58.5 ,16.27 ,14.50 ,9.36
CWTau  ,4:14:17.00 ,28:10:57.8 ,14.84 ,11.75 ,7.13
I04154+2823 ,4:18:32.03 ,28:31:15.3 ,,,10.27
CIDA-1  ,4:14:17.60 ,28:06:09.6 ,18.15 ,15.86 ,9.88
V410 X-ray 2 ,4:18:34.44 ,28:30:30.2 ,,,9.22
I04113+2758 ,4:14:26.26 ,28:06:03.2 ,21.36 ,18.91 ,7.78
V410 X-ray 4 ,4:18:40.23 ,28:24:24.5 ,,,9.69
MHO2  ,4:14:26.40 ,28:05:59.7 ,21.36 ,18.91 ,7.80
V892Tau  ,4:18:40.61 ,28:19:15.5 ,16.60 ,13.96 ,5.79
MHO3  ,4:14:30.55 ,28:05:14.7 ,20.24 ,16.84 ,8.24
LR1  ,4:18:41.33 ,28:27:25.0 ,,,11.05
FPTau  ,4:14:47.30 ,26:46:26.4 ,14.81 ,12.13 ,8.87
V410 X-ray  7 ,4:18:42.50 ,28:18:49.8 ,0.00 ,18.49 ,9.26
